"date","rate_prop","rate_prop2","tariff_prop","unemp_prop","inf_p_prop","inf_n_prop","inf_prop","war_prop","trade_p_prop","trade_n_prop","house_prop_d","house_prop","car_prop_d","chip_prop_d","ship_prop_d","inf_prop_d","trade_prop_d"
2015-02-07,0,0.00315457413249211,0,0,0,0,0,0.00315457413249211,0.00315457413249211,0,0,0,0,0,0,0,0.00315457413249211
2015-02-08,0,0,0,0,0,0,0.00186915887850467,0.00373831775700935,0.00186915887850467,0.00934579439252336,0,0,0,0,0,0,-0.00747663551401869
2015-02-09,0,0,0,0,0,0,0,0.00398406374501992,0,0.00398406374501992,0,0,0,0,0,0,-0.00398406374501992
2015-02-10,0,0.000880281690140845,0,0,0,0,0.000880281690140845,0.00616197183098592,0.000880281690140845,0,0.000880281690140845,0.000880281690140845,0,0,0,0,0.000880281690140845
2015-02-11,0.000844594594594595,0,0,0.00168918918918919,0,0,0.00253378378378378,0.00591216216216216,0,0.000844594594594595,0.00253378378378378,0.00253378378378378,0,0,0,0,-0.000844594594594595
2015-02-12,0.00196850393700787,0,0,0.000984251968503937,0.00295275590551181,0,0.00295275590551181,0.00492125984251968,0.000984251968503937,0,0,0.000984251968503937,0,0,0,0.00295275590551181,0.000984251968503937
2015-02-13,0.00130378096479791,0,0,0,0.00130378096479791,0.00130378096479791,0.00260756192959583,0.00521512385919166,0.00260756192959583,0.00130378096479791,0,0.00130378096479791,0.00130378096479791,0.00130378096479791,0,0,0.00130378096479791
2015-02-14,0,0,0,0,0.00471698113207547,0,0.00471698113207547,0.00943396226415094,0,0,0,0,0,0,0,0.00471698113207547,0
2015-02-15,0,0,0,0,0,0,0,0.00746268656716418,0,0,0,0,0,0,0,0,0
2015-02-16,0,0,0,0,0,0,0,0.00943396226415094,0.00188679245283019,0.000943396226415094,0.000943396226415094,0.000943396226415094,0,0,0,0,0.000943396226415094
2015-02-17,0.0087719298245614,0,0,0,0,0,0.00292397660818713,0.00584795321637427,0,0,0,0,0,0,0,0,0
2015-02-18,0.00574712643678161,0,0,0,0,0.0028735632183908,0.00574712643678161,0.0114942528735632,0,0,0,0,0,0,0,-0.0028735632183908,0
2015-02-19,0,0,0,0,0,0,0,0.0114942528735632,0,0,0,0,0,0,0,0,0
2015-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-23,0,0,0,0,0,0,0,0.00558659217877095,0,0,0,0,0,0,0,0,0
2015-02-24,0,0,0,0,0,0,0,0.00592417061611374,0,0.00118483412322275,0,0,0,0,0,0,-0.00118483412322275
2015-02-25,0.000982318271119843,0.000982318271119843,0,0,0,0,0,0.00392927308447937,0.00196463654223969,0,0,0,0,0,0,0,0.00196463654223969
2015-02-26,0,0,0.0008424599831508,0,0,0,0.0008424599831508,0.0058972198820556,0.0016849199663016,0.0016849199663016,0,0,0,0,0,0,0
2015-02-27,0,0,0,0,0.00329489291598023,0,0.00494233937397035,0.00329489291598023,0.00329489291598023,0.00164744645799012,0,0,0,0,0,0.00329489291598023,0.00164744645799012
2015-02-28,0,0,0,0,0,0,0,0.00952380952380952,0,0.00634920634920635,0.00317460317460317,0.00317460317460317,0,0,0,0,-0.00634920634920635
2015-03-01,0,0,0,0,0,0,0,0,0.00826446280991736,0.0165289256198347,0,0,0,0,0,0,-0.00826446280991736
2015-03-02,0,0.000960614793467819,0,0,0.000960614793467819,0,0.000960614793467819,0.00192122958693564,0.00672430355427474,0.0048030739673391,0,0.000960614793467819,0,0,0,0.000960614793467819,0.00192122958693564
2015-03-03,0,0,0,0,0.00398009950248756,0.00497512437810945,0.0129353233830846,0.00298507462686567,0.00298507462686567,0.00199004975124378,0.00099502487562189,0.00099502487562189,0,0,0,-0.000995024875621891,0.000995024875621891
2015-03-04,0,0,0,0,0,0,0.0072992700729927,0.0145985401459854,0,0,0,0,0,0,0,0,0
2015-03-05,0,0,0,0,0.00862068965517241,0.00862068965517241,0.00862068965517241,0.00862068965517241,0,0,0,0,0,0,0,0,0
2015-03-06,0,0,0,0,0,0.00146627565982405,0.00146627565982405,0.00733137829912024,0.00146627565982405,0,0,0,0,0,0,-0.00146627565982405,0.00146627565982405
2015-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,0,0,0,0,0,0,0,0.00801603206412826,0.00400801603206413,0.00400801603206413,0,0,0,0,0,0,0
2015-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-10,0,0.000771604938271605,0,0,0.000771604938271605,0,0.000771604938271605,0.00617283950617284,0.000771604938271605,0.00154320987654321,0,0.00231481481481481,0,0,0,0.000771604938271605,-0.000771604938271605
