"date","T10Y3M","TEDRATE","rv5_.AEX","rv5_.BFX","rv5_.BSESN","rv5_.FCHI","rv5_.FTSE","rv5_.GDAXI","rv5_.HSI","rv5_.IBEX","rv5_.KS11","rv5_.N225","rv5_.NSEI","rv5_.SPX","rv5_.SSEC","rv5_.SSMI","rv5_.STOXX50E","diff_data.close_price_.AEX","diff_data.close_price_.BFX","diff_data.close_price_.BSESN","diff_data.close_price_.FCHI","diff_data.close_price_.FTSE","diff_data.close_price_.GDAXI","diff_data.close_price_.HSI","diff_data.close_price_.IBEX","diff_data.close_price_.KS11","diff_data.close_price_.N225","diff_data.close_price_.NSEI","diff_data.close_price_.SPX","diff_data.close_price_.SSEC","diff_data.close_price_.SSMI","diff_data.close_price_.STOXX50E","diff_data.DTB3","diff_data.CNY","diff_data.EUR","diff_data.SGD","diff_data.JPY","diff_data.HKD","diff_data.NZD","diff_data.GBP","diff_data.Gold","diff_data.CrudeOil","diff_data.NatGas","diff_data.Soybean","diff_data.Cotton"
"2000-09-19",-0.31,-0.31,0.008497058,0.011627338,0.026942067,0.009433981,0.007635444,0.011355087,0.021108269,0.010864621,0.033887977,0.013241865,0.008642916,0.009818350,0.009792855,0.008473488,0.008136338,-2.231592e-03,-1.110449e-02,-2.365374e-02,-1.315945e-03,-2.326327e-03,-6.360652e-04, 7.493626e-03,-1.400945e-02,-3.885925e-03, 3.916694e-03,-2.796521e-02, 1.045291e-02,-2.265035e-02,-8.059203e-03,-5.296583e-03, 3.344485e-03, 8.456609e-05, 1.056524e-03,-2.176529e-03, 1.402590e-03, 1.795355e-04,-4.367879e-03,-4.627165e-03, 1.840604e-03,-1.035717e-02, 1.406489e-02, 5.163956e-04,-5.412305e-03
"2000-09-20",-0.25,-0.25,0.005991661,0.008729261,0.018529517,0.012062670,0.009659193,0.011391312,0.014930774,0.009607289,0.015666493,0.009909591,0.005412947,0.011687130,0.011718447,0.007085196,0.008252272,-3.770557e-03, 7.266552e-03, 1.425188e-02,-1.687179e-02,-2.142364e-02,-1.305604e-02,-7.389252e-04,-1.529012e-02, 5.099602e-02, 2.050989e-02, 1.947503e-02,-5.901627e-03, 1.000415e-02,-5.145197e-03,-1.048230e-02,-1.670844e-03,-4.832260e-05, 6.126316e-03, 2.576952e-03,-2.338745e-03, 5.128994e-05, 2.030154e-02,-1.915778e-03,-1.072295e-02, 2.702867e-02,-9.354552e-03,-2.067184e-03, 7.790768e-03
"2000-09-21",-0.28,-0.28,0.011277810,0.009777525,0.014689452,0.018355517,0.012357912,0.018692458,0.013419948,0.014021056,0.033920879,0.011253177,0.005108816,0.011160735,0.006678323,0.008117881,0.013933808,-1.276874e-02, 5.208640e-04,-1.592763e-02,-2.451637e-02,-9.466729e-03,-2.975729e-02,-3.251463e-02,-8.306828e-03,-1.522885e-02,-8.987725e-03,-9.765301e-03,-1.468789e-03,-7.824888e-03, 4.331879e-03,-2.596898e-02, 0.000000e+00, 3.624217e-05,-1.128097e-02,-8.582464e-04,-2.532003e-03, 3.846573e-05,-3.207108e-03,-1.218883e-02, 4.821029e-03,-9.945206e-02,-6.222325e-03, 6.702784e-03, 1.196491e-02
"2000-09-22",-0.31,-0.31,0.014816882,0.010569295,0.021002214,0.016857105,0.017320306,0.030723281,0.015638958,0.015820588,0.025727961,0.014789320,0.005941380,0.010504713,0.006164414,0.007974961,0.018752360,-4.644917e-03,-9.814665e-04,-5.425737e-02, 5.565053e-04,-3.224350e-05, 1.585431e-02,-3.705054e-02, 1.409541e-02,-7.602298e-02,-3.067846e-02,-4.884844e-02,-7.386570e-04,-8.065761e-03, 1.398801e-02, 1.800483e-03, 1.670844e-03, 1.087186e-04,-2.708943e-02, 1.144165e-03, 1.343053e-02,-1.282249e-04,-1.345586e-02,-1.996739e-02, 5.534049e-03,-3.904397e-02,-2.995043e-02, 9.207226e-03,-7.067179e-03
"2000-09-25",-0.34,-0.34,0.006371813,0.006625708,0.022731036,0.010263235,0.009439280,0.012851615,0.019247779,0.008258329,0.023185621,0.014615232,0.006774954,0.008282512,0.004816638,0.004847680,0.007622336, 8.539762e-03, 3.866515e-04, 3.405563e-02, 1.437883e-02, 7.388761e-03, 1.239283e-02, 5.434228e-02, 1.734662e-02, 5.519613e-02, 1.098054e-02, 2.039930e-02,-5.915087e-03,-8.531606e-03, 4.964713e-03, 1.045073e-02, 0.000000e+00, 7.247252e-05, 6.274619e-03,-1.144165e-03,-2.876098e-03, 3.846918e-05, 9.725265e-04, 1.923870e-03, 8.426569e-03,-3.363761e-02, 2.786766e-02, 1.113936e-02, 6.754134e-03
"2000-09-26",-0.37,-0.37,0.008366600,0.007987490,0.017345547,0.010542628,0.009016651,0.013132517,0.014183476,0.010224627,0.022774833,0.007752419,0.009944848,0.010337263,0.005549775,0.005813777,0.008854377,-8.172272e-03, 1.464557e-03,-1.991874e-02,-8.555731e-03,-5.552539e-03,-7.285108e-03,-8.991005e-03,-1.609820e-02, 4.680969e-03,-4.027383e-03,-1.925502e-02,-7.691890e-03, 6.333083e-03,-6.269378e-03,-1.032514e-02, 1.668057e-03,-2.415692e-05,-8.773485e-03,-3.153220e-03, 0.000000e+00, 5.128994e-05,-7.512455e-03,-4.118056e-03,-7.299716e-04,-2.219747e-03, 1.579576e-02, 0.000000e+00,-5.179354e-03
"2000-09-27",-0.37,-0.37,0.008203658,0.006774954,0.023817431,0.011458534,0.008366600,0.011954832,0.014740624,0.009423375,0.018921971,0.010853847,0.008508819,0.011560493,0.003924283,0.005692100,0.009391486, 4.399372e-03, 9.564112e-03, 1.796336e-02, 4.421530e-03, 8.524736e-03, 2.244053e-03, 9.974386e-03,-1.366126e-04, 2.098097e-02,-1.828895e-02, 1.925502e-02,-1.394070e-03, 1.380908e-02,-2.992095e-03, 1.617061e-03, 3.327790e-03, 4.831326e-05, 1.135074e-03, 1.147776e-03,-1.766867e-03,-8.975913e-05,-1.206418e-03,-4.793380e-04, 1.629585e-02, 0.000000e+00,-5.612776e-03,-8.089023e-03,-1.666043e-02
"2000-09-28",-0.43,-0.43,0.008074652,0.008360622,0.019060876,0.010817486,0.007726578,0.012626243,0.014324280,0.009581232,0.019103429,0.008712061,0.010210289,0.009518403,0.005009990,0.006082763,0.009949874, 4.046187e-03, 3.401990e-03,-2.379728e-02,-1.723150e-03,-9.737799e-04, 1.591404e-03,-1.839282e-03, 5.141960e-03, 8.790279e-03,-8.309104e-04,-2.043878e-02, 2.287034e-02,-1.303600e-02,-1.070779e-03,-3.530956e-03, 8.271346e-03, 4.831093e-05,-2.382169e-03, 2.867384e-04, 1.395154e-03,-6.411859e-05, 1.689393e-03,-1.915053e-03,-1.010835e-02,-3.883986e-02,-3.629817e-02, 9.095565e-03,-6.402196e-04
"2000-09-29",-0.43,-0.43,0.007106335,0.011195758,0.015111254,0.014028008,0.009539392,0.010490186,0.011491823,0.008384510,0.021264031,0.012301382,0.008972179,0.011116429,0.004415880,0.019207394,0.008246211, 4.211298e-03, 1.249259e-02, 5.601610e-03,-6.801146e-03, 3.061813e-03, 6.741094e-04, 1.501603e-02,-3.049281e-03, 1.383389e-02, 7.668754e-03, 4.137040e-03,-1.568267e-02, 1.098696e-02,-2.819861e-02,-3.335759e-03,-3.300333e-03,-1.207751e-05,-1.245541e-03,-2.583610e-03, 2.877166e-03,-8.977294e-05, 1.582504e-02,-1.033250e-02,-7.283353e-03, 1.831318e-02, 1.160554e-02, 4.016070e-03,-3.367802e-03
"2000-10-10",-0.47,-0.47,0.008467585,0.008792042,0.017713328,0.010032049,0.007949843,0.010742206,0.016610629,0.008757854,0.018393776,0.010814805,0.008803408,0.012874665,0.004460942,0.005531727,0.009622889,-1.048530e-02,-1.440956e-02,-3.506241e-02,-1.897939e-02,-4.932212e-03,-1.537708e-02,-6.080827e-03,-4.308408e-03,-4.292361e-02, 5.096451e-03,-2.605102e-02,-3.613438e-02, 1.660756e-02, 1.279170e-02,-7.055672e-03, 0.000000e+00,-1.087042e-04, 1.769554e-02, 6.018072e-03, 0.000000e+00,-1.282536e-05, 1.060822e-02, 2.070383e-02,-4.395656e-03, 7.158190e-02,-1.277354e-02,-3.258944e-02, 3.659137e-02
