"real_date","rate_prop","tariff_prop","war_prop","pro_prop_d","ship_prop_d","car_prop_d","chip_prop_d","invest_prop_d","house_prop","unemp_prop","emp_prop_d","job_prop_d","retail_prop_d","gov_prop","inf_prop_d","stock_prop_d","house_prop_d","trade_prop_d"
2015-01-01,0.00139470013947001,0,0.0209205020920502,-0.00139470013947001,0,0.00139470013947001,0,0,0.00697350069735007,0,0,0,0.00139470013947001,0.00697350069735007,0,0,0,0.00139470013947001
2015-01-02,0.00215982721382289,0.00215982721382289,0.0161987041036717,0.00323974082073434,0,0.00323974082073434,0,0,0.00755939524838013,0,0,0.00107991360691145,-0.00215982721382289,0.00215982721382289,0,0.00107991360691145,0,0.00215982721382289
2015-01-03,0.0172413793103448,0,0.0172413793103448,0,0,-0.0172413793103448,0,0,0.0172413793103448,0,0,0,0,0,0,0,0,0
2015-01-04,0.00542005420054201,0,0.00542005420054201,0,0,0.00813008130081301,0,0,0.002710027100271,0.002710027100271,0,0,0,0,0,0,0,0
2015-01-05,0.00368324125230203,0,0.0230202578268877,-0.000920810313075506,0,0.00276243093922652,0.000920810313075506,0,0.0184162062615101,0,0.00184162062615101,0.00460405156537753,0.00184162062615101,0.00552486187845304,0,0.00184162062615101,0.000920810313075506,0
2015-01-06,0.00164744645799012,0.00164744645799012,0.0362438220757825,-0.00164744645799012,0,0.00329489291598023,0,0,0.00988467874794069,0.00164744645799012,0.00658978583196046,0.00329489291598023,0,0.00988467874794069,0.00164744645799012,-0.00164744645799012,0,-0.00164744645799012
2015-01-07,0.010752688172043,0.010752688172043,0.021505376344086,-0.010752688172043,0,0,0,0.010752688172043,0,0,0,0,0,0.021505376344086,0,0,0,-0.010752688172043
2015-01-08,0,0,0.0114942528735632,0.00383141762452107,0,0.00383141762452107,0,0,0.0114942528735632,0,0,0,0,0,0,0,0,-0.00383141762452107
2015-01-09,0,0,0.0120724346076459,0,0,0,0,0,0.0120724346076459,0.0100603621730382,-0.00201207243460765,0,0,0.00603621730382294,0,0,0,0
2015-01-10,0.00666666666666667,0,0.0166666666666667,0.00333333333333333,0,0,0,0,0.00666666666666667,0.00333333333333333,0,0,0.00333333333333333,0.00666666666666667,0,0,0,0
2015-01-11,0.0161290322580645,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0.0161290322580645,0,0,0,-0.0161290322580645
2015-01-12,0,0,0,0,0,0,0,0,0.0194174757281553,0,0.00970873786407767,0,0,0,0,0.0194174757281553,0,0
2015-01-13,0.00183654729109275,0,0.00918273645546373,0,0,0.00183654729109275,0,0.00183654729109275,0.00918273645546373,0,0.00183654729109275,0.000918273645546373,0,0.0202020202020202,-0.000918273645546373,0.00183654729109275,0,0.00183654729109275
2015-01-14,0.0104712041884817,0,0.0104712041884817,0.0104712041884817,0,0.00523560209424084,0.00523560209424084,0,0.0261780104712042,0.00523560209424084,0.00523560209424084,0.0104712041884817,0.00523560209424084,0.0209424083769634,0,0.0104712041884817,0,0.00523560209424084
