"date","rate_prop","tariff_prop","war_prop","pro_prop_d","ship_prop_d","car_prop_d","chip_prop_d","invest_prop_d","house_prop","unemp_prop","emp_prop_d","job_prop_d","retail_prop_d","gov_prop","inf_prop_d","stock_prop_d","house_prop_d","trade_prop_d"
2015-02-12,0.00196850393700787,0,0.00492125984251968,0,0,0,0,0,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00196850393700787,0,0,0,0,0,0
2015-02-13,0.00130378096479791,0,0.00521512385919166,0,0,0.00130378096479791,0.00130378096479791,0,0.00130378096479791,0,0,0,-0.00130378096479791,0.00130378096479791,0,0,0,0
2015-02-14,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0
2015-02-15,0,0,0.00746268656716418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-16,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-17,0.0087719298245614,0,0.00584795321637427,0,0,0,0,0,0.00292397660818713,0,0,0,0,0,0,0,0,0
2015-02-18,0.00574712643678161,0,0.0114942528735632,-0.0028735632183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-19,0,0,0.0114942528735632,0.0114942528735632,0,0,0,0,0,0,0.0114942528735632,0,0,0,0,0,0,0
2015-02-20,0,0,0,0,0,0,0,0,0.0053475935828877,0,0,0,0,0,0,0,0,0
2015-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-23,0,0,0.00558659217877095,0.00558659217877095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-24,0,0,0.00592417061611374,0,0,0,0,0,0.00118483412322275,0,-0.00118483412322275,-0.0023696682464455,0,0,0,0,0,0
2015-02-25,0.000982318271119843,0,0.00392927308447937,0,0,0,0,0,0,0,0.000982318271119843,0,0,0.000982318271119843,0,0,0,0
2015-02-26,0,0.0008424599831508,0.0058972198820556,0,0,0,0,0,0.0008424599831508,0,0.0008424599831508,0,0,0,0,0,0,0
2015-02-27,0,0,0.00329489291598023,0,0,0,0,0,0,0.00164744645799012,0.00164744645799012,0,0,0,0,0,0,0
2015-02-28,0,0,0.00952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-02,0,0,0.00192122958693564,-0.00192122958693564,0,0,0,0,0.00192122958693564,0,0.000960614793467819,0.000960614793467819,0,0,0,0,0,0
2015-03-03,0,0,0.00298507462686567,-0.00099502487562189,0,0,0,0,0.00099502487562189,0,0,0,0,0,0,0,0,0
2015-03-04,0,0,0.0145985401459854,0,0,0,0,0,0,0,0,0,0,0.0072992700729927,0,0,0,0
2015-03-05,0,0,0.00862068965517241,0,0,0,0,0,0,0,-0.00862068965517241,0,0,0,0,0,0,0
2015-03-06,0,0,0.00733137829912024,0,0,0,0,0,0,0,0,0.00146627565982405,0,0,0,0,0,0
2015-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,0,0,0.00801603206412826,0,0,0,0,-0.00200400801603206,0,0,0,0,0,0,0,0,0,0
2015-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-10,0,0,0.00617283950617284,0,0,0,0,0,0.00231481481481481,0,0.00231481481481481,0,0,0.00154320987654321,0.000771604938271605,0,0,0
2015-03-11,0,0,0.00625558534405719,0,0,0,0,0,0.00178731009830206,0,0,0,0,0.00536193029490617,0,0,0,0
2015-03-12,0.00440528634361234,0,0.013215859030837,0,0,0,0,0,0,0,0,-0.00440528634361234,0,0,0,0,0,0
2015-03-13,0,0,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0
2015-03-14,0,0,0.0267175572519084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-15,0,0,0.0170316301703163,0,0,0,0,0,0.0024330900243309,0,0,0,0,0.0024330900243309,0,0,0,0
2015-03-16,0,0,0.0032,0.0016,0,0,0,0,0.0016,0,-0.0064,-0.008,0,0.0016,0,0,0,0
2015-03-17,0,0,0.00279329608938547,0,0,0,0,0,0,0,0,-0.00279329608938547,0,0,0,0,0,0.00279329608938547
2015-03-18,0,0,0.00502092050209205,0.000836820083682008,0,0,0,0,0.000836820083682008,0.000836820083682008,0.00167364016736402,0.000836820083682008,0,0,0,0,0,0
2015-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-20,0,0,0.0134575569358178,0,0,0,0,0,0.0010351966873706,0,0,0,0,0.0041407867494824,0,0,0,0
2015-03-21,0,0,0.0211480362537764,0,0,0,0,0,0.00302114803625378,0,0,0,0,0,0,0,0,0
2015-03-22,0,0,0.00681818181818182,0,0,0,0,0,0.00227272727272727,0,0.00227272727272727,0,0,0.00454545454545455,0,0,0,0
2015-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-24,0,0,0.00917431192660551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-25,0,0,0,0,0,0,0,0,0,0,0.00162074554294976,0,0,0,0,0,0,0
2015-03-26,0,0,0.00235294117647059,0,0,0.00235294117647059,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-27,0,0,0.00652883569096844,0,0,0,0,0,0.00108813928182807,0,0,0,0,0.00108813928182807,0,0.00108813928182807,0,0
2015-03-28,0,0,0.0119047619047619,-0.00297619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,0.0009000900090009,0,0.0099009900990099,-0.0009000900090009,0,0,0,0,0.0009000900090009,0,0.0009000900090009,-0.0009000900090009,0,0.0009000900090009,0,0,0,0
2015-03-31,0,0,0.00523560209424084,0.00224382946896036,0,0,0,0,0,0.00149588631264024,0,0.00149588631264024,0,0,0,0,0,0
2015-04-01,0,0,0,0,0,0,0,0,0,0,0,0.00862068965517241,0,0.00862068965517241,0,0,0,0
2015-04-02,0,0,0.00451263537906137,0,0,0,0,0,0.00270758122743682,0,0,0,0,0.000902527075812274,0,0,0,0
2015-04-03,0,0,0.00294985250737463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-04,0,0,0.0126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-05,0,0,0.00510204081632653,0,0,0,0,-0.00510204081632653,0,0,0,0,0,0,0,0,0,0
2015-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-07,0,0,0.00869565217391304,0,0,0,0,0,0,0,0,0,0,0.00869565217391304,0,0,0,0
2015-04-08,0,0,0.00917431192660551,0,0,0,0,0,0,0,0.00917431192660551,0,0,0,0,0,0,0
2015-04-09,0.0025706940874036,0,0.0102827763496144,0,0,0,0,0,0,0,0.0025706940874036,0,0,0,0.0051413881748072,0,0,0
2015-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-12,0,0,0.00189393939393939,0,0,0,0,0,0.00189393939393939,0,-0.00757575757575758,-0.00946969696969697,0,0.00189393939393939,0,0.00189393939393939,0,0
2015-04-13,0,0,0,0,0,0,0,0,0,0,0,0.00854700854700855,0,0,0,0,0,0
2015-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-15,0.000823045267489712,0,0.00411522633744856,0.000823045267489712,0,0,0,0,0.000823045267489712,0,0,0.00411522633744856,0,0.00246913580246914,0,0,0,0.000823045267489712
2015-04-16,0,0,0.00102354145342886,-0.00204708290685773,0,0,0,0,0,0,0,0.00204708290685773,0,0.00307062436028659,0,0,0,0
2015-04-17,0,0,0.019672131147541,0,0,0,0,0,0.00109289617486339,0,0,0,0,0.00109289617486339,0,0,0,0
2015-04-18,0,0,0,0,0,0,0,0,0,0,0,0.00917431192660551,0,0,0,0,0,0
